7647,8028,8485,8769,9211,9633,9984,10478,10780,11190,12489,12660,12611,11510,9637,7000,4465,2432,1077,372,79,23
7689,8154,8445,8791,8978,9802,9889,10506,10892,11353,12584,12728,12420,11489,9596,7175,4534,2414,1037,405,87,19
7726,7968,8426,8929,9235,9489,10029,10593,10851,11217,12348,12643,12688,11567,9745,7063,4502,2385,1062,386,89,21
7659,8004,8341,8827,9143,9410,10179,10570,10850,11365,12394,12899,12380,11554,9672,7242,4457,2334,1080,376,107,25
7631,8016,8460,8641,9325,9633,10066,10472,10845,11293,12317,12833,12587,11549,9690,7050,4500,2389,1052,381,112,31
7576,7471,7232,6749,6495,5986,5711,5356,4978,4469,3630,3332,3173,3086,2695,2028,1236,635,235,73,17,2
7635,7183,6991,6722,6609,6211,5796,5226,4954,4539,3687,3314,3199,3054,2698,2044,1286,618,267,73,17,6
7697,7521,6920,6731,6477,6063,5606,5332,5035,4557,3632,3272,3182,3098,2697,2180,1353,626,287,100,23,7
7794,7352,7156,6766,6369,6047,5655,5350,4930,4630,3636,3250,3122,3047,2802,2214,1357,739,299,112,34,9
7659,7484,6944,6722,6440,6036,5599,5318,4984,4709,3636,3252,3188,3099,2777,2153,1410,751,322,123,36,10
7720,7301,7106,6702,6398,6091,5679,5182,5030,4656,3693,3255,3141,3069,2811,2186,1392,740,333,104,26,2
7768,7399,7071,6825,6215,6114,5645,5204,4851,4578,3647,3298,3207,3055,2834,2185,1420,778,292,140,32,2
7799,8119,8423,8826,9105,9485,10162,10413,11020,11444,12267,12832,12520,11619,9610,7119,4564,2440,1112,340,133,10
